seed,target_effective_premium,target_profit_per_insurer,common_premium_factor,common_profit_factor
101,220.34531001299968,1897.8784996300355,1.2023153476548765,0.8691408871778873
102,212.52662121473472,9458.797591022081,1.1472076297658425,4.349645832954571
103,241.8027348578269,9828.587552491714,1.2839714301066676,4.482305158503182
104,277.7358266269796,9537.064022678329,1.5230282929715038,4.45099462572766
105,238.42406126142708,3286.2006653705016,1.2827074907341351,1.52994196259094
106,233.47383719818154,9840.539005627437,1.269837301863111,4.581575516202167
107,294.09977488331566,3196.5638892431357,1.5999074361033596,1.5136918523358185
108,200.7977800892267,1973.9611786033975,1.081258746278129,0.929037262243273
109,243.17764226260414,9966.535940211928,1.3419676087904746,4.711764841325922
110,224.89320700040813,3764.28657009612,1.2123622928958877,1.6810360826176625
111,283.2238993066471,5761.432366550097,1.5740016969568382,2.6578131225077066
112,211.62332714664927,9306.348333233953,1.131214068428447,4.302133539334023
113,290.2931078189663,8074.914642675355,1.565420368893796,3.710114186118036
114,223.40194005512382,3579.319932248766,1.2258192450298733,1.6522452614665128
115,202.48510918823928,3041.3895490650075,1.1011652284646998,1.4039372239219208
116,237.8550611532577,2583.7945065053227,1.2927317586726652,1.1652805665223613
117,262.68220195311886,7389.194499415497,1.4213556479076388,3.4404332172538394
118,222.71550878197894,2739.4639541389824,1.1950440972947791,1.2483814228123287
119,297.80388054762557,3791.7922114150992,1.6055891634289574,1.7887434839246017
120,153.12980588008134,5279.884119200324,0.8471085241925197,2.4821822353801313
121,191.6546306326856,5527.189070312772,1.0525560679820636,2.562114160454876
122,227.26494879978293,3871.579206303237,1.2415882996163228,1.7669861328679277
123,146.88404330573144,12168.682307509644,0.8028367648228762,5.683260570431787
124,256.127948672568,18328.211082222853,1.3809929351101853,8.623956699664372
125,206.04419723334695,3640.148729619093,1.1054700967720612,1.6792249698676454
126,180.44174617592063,5663.064661996076,0.9667854047090912,2.6234889390094396
127,242.51458334108437,9245.827116606564,1.327293503605441,4.241376502570645
128,234.3275001584844,13840.695593290726,1.2731621372667679,6.4653582540327585
129,300.21379733004943,10501.574352647804,1.6290710368337151,4.759977412497814
130,230.93312456190418,19844.732960917572,1.2372736615430677,9.196529955934835
131,189.1536745370487,5108.915744371887,1.0168801180528413,2.391747709540654
132,201.42625730986236,1819.9348862036495,1.0704735588501362,0.8405882217015601
133,288.9893410219969,6255.79482859407,1.5455948898732916,2.9187324477303216
134,246.04181658132768,15676.667101961528,1.3256078627047692,7.147680294190737
135,255.16164549718263,3722.855880504248,1.3956303628329667,1.7461742385957801
136,262.85455407392465,5283.236260129493,1.4323456754770063,2.453881108573225
137,270.23873786313914,5029.368821153982,1.449521384525557,2.30731102111018
138,272.0029550071928,4274.2373024654025,1.4386523279479086,1.9428072089180692
139,313.6728715258324,4557.546843573054,1.6866356844091572,2.1495207714306908
140,219.06700679290958,5595.165783024092,1.1959170970082562,2.612131562862643
141,303.4307659413461,12611.456930236964,1.6799310650693922,5.933488142622885
142,265.188620623812,4263.304611802015,1.4230864311729752,1.9591438060611328
143,243.19270886553608,4726.642146794935,1.3143952316758842,2.164613388492448
144,209.80417978257606,4280.683994209012,1.1267348291031478,1.9620764416929528
145,171.16353847773428,5831.173165270515,0.9552211243629416,2.6905693344354424
146,199.23845066064854,4773.053788401085,1.0992986133819032,2.211698558873873
147,237.91083124871835,10201.245174309399,1.2690939884404782,4.7256796775958225
148,163.5754394811886,6852.801908769203,0.9031917483993088,3.0830709410856247
149,235.72744853228954,7425.299879809297,1.2819457440430864,3.4137666823539785
150,185.7619987247826,7130.960837566737,1.0330069429124666,3.324652306598756
