method,method_label,month,mean,std,count,metric,ci95
dong_quan_automl,Dong–Quan AutoML-aligned (2025),45,0.6914,0.05816970247228607,50,insured_pct,0.016123818902480883
dong_quan_automl,Dong–Quan AutoML-aligned (2025),46,0.6851999999999999,0.054030981286438906,50,insured_pct,0.014976623918627323
dong_quan_automl,Dong–Quan AutoML-aligned (2025),47,0.685,0.05218686987887951,50,insured_pct,0.014465462315460226
dong_quan_automl,Dong–Quan AutoML-aligned (2025),48,0.6886,0.05409779504352674,50,insured_pct,0.014995143747226962
dong_quan_automl,Dong–Quan AutoML-aligned (2025),49,0.6912,0.052045505991176126,50,insured_pct,0.014426278244925123
dong_quan_automl,Dong–Quan AutoML-aligned (2025),50,0.6886,0.055069899923197795,50,insured_pct,0.015264597472583416
dong_quan_automl,Dong–Quan AutoML-aligned (2025),51,0.6904,0.05178290632781345,50,insured_pct,0.014353489331866311
dong_quan_automl,Dong–Quan AutoML-aligned (2025),52,0.6864,0.052089405088261286,50,insured_pct,0.014438446453825981
dong_quan_automl,Dong–Quan AutoML-aligned (2025),53,0.6836,0.050699595457871616,50,insured_pct,0.014053210878656875
dong_quan_automl,Dong–Quan AutoML-aligned (2025),54,0.6878,0.050640388817542015,50,insured_pct,0.014036799635244488
dong_quan_automl,Dong–Quan AutoML-aligned (2025),55,0.6842,0.05376023870209397,50,insured_pct,0.014901577903027582
dong_quan_automl,Dong–Quan AutoML-aligned (2025),56,0.6886,0.04944632216363724,50,insured_pct,0.013705821245003887
dong_quan_automl,Dong–Quan AutoML-aligned (2025),57,0.6862,0.05221189167855406,50,insured_pct,0.014472398004477352
dong_quan_automl,Dong–Quan AutoML-aligned (2025),58,0.687,0.049703200734613706,50,insured_pct,0.013777024352159642
dong_quan_automl,Dong–Quan AutoML-aligned (2025),59,0.6842,0.04828021946757009,50,insured_pct,0.013382594068415882
dong_quan_automl,Dong–Quan AutoML-aligned (2025),60,0.6864,0.05699122739510002,50,insured_pct,0.015797162276814148
dong_quan_automl,Dong–Quan AutoML-aligned (2025),61,0.6834,0.05445874679095008,50,insured_pct,0.015095194467114357
dong_quan_automl,Dong–Quan AutoML-aligned (2025),62,0.6886,0.05345263018289545,50,insured_pct,0.014816313171636182
dong_quan_automl,Dong–Quan AutoML-aligned (2025),63,0.6872,0.057286961154937775,50,insured_pct,0.01587913549284092
dong_quan_automl,Dong–Quan AutoML-aligned (2025),64,0.6831999999999999,0.0552338257791734,50,insured_pct,0.0153100354016573
dong_quan_automl,Dong–Quan AutoML-aligned (2025),65,0.6831999999999999,0.04938148045821326,50,insured_pct,0.01368784804123716
dong_quan_automl,Dong–Quan AutoML-aligned (2025),66,0.6823999999999999,0.054718574990396014,50,insured_pct,0.015167215169568869
dong_quan_automl,Dong–Quan AutoML-aligned (2025),67,0.6812,0.05297823966074201,50,insured_pct,0.014684818827619217
dong_quan_automl,Dong–Quan AutoML-aligned (2025),68,0.6776000000000001,0.05374011537017758,50,insured_pct,0.01489599999999999
dong_quan_automl,Dong–Quan AutoML-aligned (2025),69,0.6801999999999999,0.05377542113612265,50,insured_pct,0.014905786259033769
dong_quan_automl,Dong–Quan AutoML-aligned (2025),70,0.6842,0.0531109735384702,50,insured_pct,0.014721610781432852
dong_quan_automl,Dong–Quan AutoML-aligned (2025),71,0.6786,0.05573296390204027,50,insured_pct,0.015448389430617033
dong_quan_automl,Dong–Quan AutoML-aligned (2025),72,0.6823999999999999,0.055753100032781194,50,insured_pct,0.015453970881297789
dong_quan_automl,Dong–Quan AutoML-aligned (2025),73,0.6814,0.05018374401402616,50,insured_pct,0.013910224153477901
dong_quan_automl,Dong–Quan AutoML-aligned (2025),74,0.6762,0.050260139600413554,50,insured_pct,0.013931399929655303
dong_quan_automl,Dong–Quan AutoML-aligned (2025),75,0.6801999999999999,0.05028449673850676,50,insured_pct,0.013938151383881577
dong_quan_automl,Dong–Quan AutoML-aligned (2025),76,0.68,0.050142653642240714,50,insured_pct,0.013898834483509762
dong_quan_automl,Dong–Quan AutoML-aligned (2025),77,0.6778,0.045368783658064314,50,insured_pct,0.012575585234890656
