seed,method,method_label,citation_key,insured_pct,effective_premium,quoted_premium,profit_per_insurer,accepted_coverage,risk_mse,risk_group_coverage_gap,high_risk_uninsured_pct,premium_group_gap,hhi,subsidy_total,gov_score
101,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.639,230.45979353747825,230.45979353747825,1378.5056982561803,0.730392018796689,0.0005991039445222826,0.688,76.8,45.28115252149968,0.8230919448412003,0.0,0.5522070758995845
102,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.654,205.78491579536575,205.78491579536575,6255.585773403539,0.7060918713830849,0.0010161229625559197,0.528,62.8,39.837554196617916,0.8454922862242544,0.0,0.5971650485889402
103,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.739,226.7433980567568,226.7433980567568,7085.359491776146,0.6735397510704374,0.001260181876114614,0.504,57.2,30.300545879788025,0.6732591873914644,0.0,0.6551936964955634
104,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.644,285.48605303420976,285.48605303420976,6763.1961925441665,0.7316597768396225,0.0007466013794217738,0.624,70.4,45.7385441560654,0.6593158794435845,0.0,0.5835591611313937
105,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.613,231.04026081383807,231.04026081383807,2035.7662962762538,0.6970459394436259,0.0018423336739265821,0.772,81.6,45.35427094855056,0.8250596969168775,0.0,0.5193496557335304
106,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.724,236.37882804698356,236.37882804698356,7750.05501650238,0.7379739749779979,0.0008493008886700203,0.6679999999999999,67.2,41.8786343765319,0.6806726654022465,0.0,0.6068506182547008
107,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.698,299.6642118532745,299.6642118532745,2484.315050075051,0.7261488822992719,0.0010668443063783918,0.5559999999999999,61.2,40.987282529280364,0.7082085826968113,0.0,0.6209477448711356
108,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.725,206.69813408764895,206.69813408764895,1684.945803159099,0.7246079635607766,0.0005183370042036166,0.532,54.8,47.36255816097764,0.5916024994042409,0.0,0.6484262315345413
109,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.663,253.53635951881415,253.53635951881415,7544.011050306472,0.7007255016862823,0.0006603043808169225,0.748,75.6,32.454475537010126,0.5348650273051276,0.0,0.5710652293024704
110,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.622,227.03960595646384,227.03960595646384,2486.845871350619,0.7278317200623887,0.0013719224738453198,0.588,69.6,47.83157025177132,0.4687253741219708,0.0,0.5979064015571229
111,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.611,296.91243769581627,296.91243769581627,3987.1612752200454,0.7392458239610372,0.0009897962415157768,0.74,78.4,55.70682063368277,0.8668455953373109,0.0,0.5231067838598956
112,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.746,213.05531584678155,213.05531584678155,7542.2696775825725,0.7256761856722054,0.000809763916928469,0.504,56.4,39.04276057089182,0.5778021772207843,0.0,0.6659802573092178
113,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.717,284.39897973723384,284.39897973723384,5914.193159567598,0.7260583053783731,0.001565645624866311,0.604,67.2,40.78950899898091,0.5029290255923768,0.0,0.6339201094394904
114,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.651,229.91062304935636,229.91062304935636,2618.652565947169,0.7270820045905549,0.0007138841119192352,0.584,65.6,47.8306187826435,0.43236176139168664,0.0,0.6148654905755456
115,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.63,202.46431789744713,202.46431789744713,2013.3406090486508,0.7486282722802564,0.0012630357295735346,0.568,68.8,56.47330520965802,0.8445990900625077,0.0,0.5764365042818799
116,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.6849999999999999,244.8732912911189,244.8732912911189,1948.641798234663,0.7348653402608112,0.001174847735544866,0.496,56.8,52.028869919424515,0.87558621903287,0.0,0.6167075339642508
117,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.64,258.84829491356055,258.84829491356055,4912.696435448432,0.6850691736833847,0.0012327297789521392,0.616,69.6,40.04183749359813,0.34522392900477317,0.0,0.6088865171664987
118,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.737,224.88979227929372,224.88979227929372,2173.4487036883547,0.7338795112307432,0.0022082496123696114,0.536,54.0,48.6600145666781,0.8207268838319568,0.0,0.634496280780324
119,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.693,296.8737035551204,296.8737035551204,2881.7349846921197,0.707777429125682,0.0007788690715776194,0.46799999999999997,58.0,28.667824942486696,0.4514257958911159,0.0,0.6612403678155913
120,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.613,155.65796412685273,155.65796412685273,3517.0904112518306,0.705451017342261,0.0006065048400019575,0.528,63.6,36.647076215503915,0.44008026402683315,0.0,0.6111480103647338
121,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.72,195.02156946493508,195.02156946493508,4481.721279102276,0.7448832828963602,0.0005472138800822963,0.6679999999999999,73.6,45.57443852309073,0.8754392691922124,0.0,0.5894692899515035
122,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.604,230.18393880881726,230.18393880881726,2480.3694206578684,0.7261989839280435,0.0010935143895589381,0.8119999999999999,86.4,54.447062738703565,0.4159214262452366,0.0,0.5380307173872616
123,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.604,153.42037288494447,153.42037288494447,8389.58638734169,0.7219227629082191,0.0010739130211860014,0.6759999999999999,78.0,38.704236151099394,0.7425340922194685,0.0,0.545901704109323
124,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.724,242.03287904627723,242.03287904627723,13096.671006345743,0.7119896447205923,0.0012108812658410105,0.592,64.4,45.31904694462018,0.8940690828067858,0.0,0.6087789048623377
125,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.6849999999999999,199.48227972395784,199.48227972395784,2566.380793947198,0.7008802431139477,0.0007595162839307367,0.604,68.0,43.29993928636983,0.7258199168379564,0.0,0.601688838139844
126,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.675,187.08387803829243,187.08387803829243,4532.164353457807,0.6962093905602648,0.0008497541648634369,0.588,67.2,38.36904423273347,0.29692362745726386,0.0,0.6355005412902994
127,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.694,242.91448308353938,242.91448308353938,6853.159749329915,0.7234782932834564,0.0009940971308662872,0.696,72.4,40.03070429561442,0.5808373487023377,0.0,0.5943374435906935
128,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.674,232.7222009099102,232.7222009099102,10112.022715606054,0.7064724612738077,0.0017370844370766258,0.6519999999999999,72.0,41.41960487907953,0.45229092302747853,0.0,0.6066211576446822
129,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.599,303.38736084253367,303.38736084253367,6814.678353332243,0.6973569357425382,0.0006379874764290541,0.792,83.6,36.45495000830145,0.32212218530750325,0.0,0.5482846566622802
130,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.675,239.77829610478267,239.77829610478267,16032.421761536058,0.697452560473366,0.001266521186014193,0.54,61.6,31.7439637002958,0.4259971303068088,0.0,0.6371746610623358
131,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.745,187.0117185636902,187.0117185636902,4051.373687744056,0.7356053318504927,0.0012944897420508286,0.488,51.2,36.377099903256806,0.5776091624149091,0.0,0.6695456984936878
132,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.67,210.4866234003967,210.4866234003967,1458.1680280211606,0.713868368313674,0.0010603293867716256,0.688,75.2,41.75913512150005,0.7766038392348551,0.0,0.5698761243480921
133,dong_quan_automl,Dong–Quan AutoML-aligned (2025),DongQuan2025,0.709,275.40124824132783,275.40124824132783,4354.035077148416,0.7367886440098912,0.002061052627971713,0.696,72.4,41.10814173614731,0.8290969321390499,0.0,0.5812266769157566
