metric,comparison,reference,comparator,n_pairs,mean_paired_difference,paired_standardized_effect_dz,wilcoxon_statistic,p_value,p_holm,significant_0_05
high_risk_uninsured_pct,fl_imdr vs dong_quan_automl,fl_imdr,dong_quan_automl,50,-59.38400000000001,-6.888384174246875,0.0,7.541564726440781e-10,3.758859901441417e-09,True
high_risk_uninsured_pct,fl_imdr vs richman_credibility,fl_imdr,richman_credibility,50,-59.33599999999999,-7.274533720237457,0.0,7.541564726440781e-10,3.758859901441417e-09,True
high_risk_uninsured_pct,fl_imdr vs piontkowski_small_portfolio,fl_imdr,piontkowski_small_portfolio,50,-58.144,-7.054974022600941,0.0,7.519420763211106e-10,3.758859901441417e-09,True
high_risk_uninsured_pct,fl_imdr vs xin_fairness,fl_imdr,xin_fairness,50,-35.56,-3.939830893704734,0.0,7.517719802882833e-10,3.758859901441417e-09,True
high_risk_uninsured_pct,fl_imdr vs sun_fhe_crl,fl_imdr,sun_fhe_crl,50,-55.888000000000005,-6.498342143553976,0.0,7.529633786524503e-10,3.758859901441417e-09,True
premium_group_gap,fl_imdr vs dong_quan_automl,fl_imdr,dong_quan_automl,50,-21.523575290310276,-2.9677429645541458,0.0,1.7763568394002505e-15,8.881784197001252e-15,True
premium_group_gap,fl_imdr vs richman_credibility,fl_imdr,richman_credibility,50,-26.102883049881516,-4.864749536393612,0.0,1.7763568394002505e-15,8.881784197001252e-15,True
premium_group_gap,fl_imdr vs piontkowski_small_portfolio,fl_imdr,piontkowski_small_portfolio,50,-26.591242895606797,-4.844266731119835,0.0,1.7763568394002505e-15,8.881784197001252e-15,True
premium_group_gap,fl_imdr vs xin_fairness,fl_imdr,xin_fairness,50,14.889852492869785,2.4192788569692145,1.0,3.552713678800501e-15,8.881784197001252e-15,True
premium_group_gap,fl_imdr vs sun_fhe_crl,fl_imdr,sun_fhe_crl,50,-27.135300175944806,-5.0068202942022655,0.0,1.7763568394002505e-15,8.881784197001252e-15,True
hhi,fl_imdr vs dong_quan_automl,fl_imdr,dong_quan_automl,50,-0.18116987923178138,-1.0023790231765237,117.0,3.623269506647375e-08,3.623269506647375e-08,True
hhi,fl_imdr vs richman_credibility,fl_imdr,richman_credibility,50,-0.2680606919212642,-7.030331727805247,0.0,1.7763568394002505e-15,8.881784197001252e-15,True
hhi,fl_imdr vs piontkowski_small_portfolio,fl_imdr,piontkowski_small_portfolio,50,-0.2675103021904304,-7.189926422609394,0.0,1.7763568394002505e-15,8.881784197001252e-15,True
hhi,fl_imdr vs xin_fairness,fl_imdr,xin_fairness,50,-0.20915931202503035,-1.3215291168829446,52.0,7.151434999741468e-11,1.4302869999482937e-10,True
hhi,fl_imdr vs sun_fhe_crl,fl_imdr,sun_fhe_crl,50,-0.2727811338682643,-7.15328792656316,0.0,1.7763568394002505e-15,8.881784197001252e-15,True
subsidy_total,fl_imdr vs dong_quan_automl,fl_imdr,dong_quan_automl,50,2744.0,4.6205540190501795,0.0,1.7763568394002505e-15,8.881784197001252e-15,True
subsidy_total,fl_imdr vs richman_credibility,fl_imdr,richman_credibility,50,2744.0,4.6205540190501795,0.0,1.7763568394002505e-15,8.881784197001252e-15,True
subsidy_total,fl_imdr vs piontkowski_small_portfolio,fl_imdr,piontkowski_small_portfolio,50,2744.0,4.6205540190501795,0.0,1.7763568394002505e-15,8.881784197001252e-15,True
subsidy_total,fl_imdr vs xin_fairness,fl_imdr,xin_fairness,50,2744.0,4.6205540190501795,0.0,1.7763568394002505e-15,8.881784197001252e-15,True
subsidy_total,fl_imdr vs sun_fhe_crl,fl_imdr,sun_fhe_crl,50,2744.0,4.6205540190501795,0.0,1.7763568394002505e-15,8.881784197001252e-15,True
gov_score,fl_imdr vs dong_quan_automl,fl_imdr,dong_quan_automl,50,0.2851635903385425,6.9078509732703095,0.0,1.7763568394002505e-15,8.881784197001252e-15,True
gov_score,fl_imdr vs richman_credibility,fl_imdr,richman_credibility,50,0.29375485535370116,7.641075604547014,0.0,1.7763568394002505e-15,8.881784197001252e-15,True
gov_score,fl_imdr vs piontkowski_small_portfolio,fl_imdr,piontkowski_small_portfolio,50,0.28895482417523444,7.469203676212726,0.0,1.7763568394002505e-15,8.881784197001252e-15,True
gov_score,fl_imdr vs xin_fairness,fl_imdr,xin_fairness,50,0.1936967449620024,4.579101997271446,0.0,1.7763568394002505e-15,8.881784197001252e-15,True
gov_score,fl_imdr vs sun_fhe_crl,fl_imdr,sun_fhe_crl,50,0.27924949070946115,7.101219423110579,0.0,1.7763568394002505e-15,8.881784197001252e-15,True
