seed,sigma,final_mse,mse_auc,convergence_month,insurer_gap,group_gap,worst_group_mse
0,0.0,0.0013247339106969922,0.0015508340516797955,4,3.0107021479839593e-05,0.0025565895583753496,0.003163163514348438
0,0.01,0.0013447670585322847,0.002353849867219652,4,3.2214958077439825e-05,0.0022560105113911154,0.00293172783528567
0,0.05,0.005773715357459579,0.020381519442988723,104,0.0029347008785541116,0.007864492978821278,0.010669022149194646
0,0.1,0.011251792817481641,0.07310515119951722,104,0.0038297618595677326,0.020246464603627605,0.0242840078219394
1,0.0,0.0009329420110224777,0.0013438292444856207,14,1.7134929005989008e-05,0.0019365309439369472,0.0023335589072284346
1,0.01,0.002046698020635185,0.0021290240468305674,18,0.0009856512218153787,0.004074776064203322,0.0049955760851800295
1,0.05,0.013495648546852087,0.014343019741325253,61,0.011001025095414651,0.025113055083721626,0.030511170250924435
1,0.1,0.01662874946969844,0.042698021409757876,106,0.010563002125214788,0.03020531758804016,0.03743135661470915
2,0.0,0.001324107079439607,0.0013989302497446968,12,4.285227095133185e-05,0.003154942805638719,0.003592605372392818
2,0.01,0.001677425614229637,0.0023668868128697514,5,0.0003892295947235787,0.002758420433426881,0.0035240347479615517
2,0.05,0.00895607757197018,0.015073822734137331,13,0.007162661351698715,0.0028173445964411498,0.010507700668617555
2,0.1,0.03091705999668668,0.04734087489361271,13,0.02826556020134034,0.012503408704436331,0.03728623942730245
3,0.0,0.0017936250120001202,0.0009661224938761332,6,0.0001421795464666645,0.0045256459186098575,0.004972105228375283
3,0.01,0.0027280790754279074,0.0014934833605770984,67,0.0010651286960227883,0.003440720484259599,0.0048969586239558955
3,0.05,0.026224753703457105,0.008015120053831691,120,0.023870427368344906,0.01103662504506094,0.032178955141658985
3,0.1,0.10001933054899685,0.01961602363245238,120,0.09561317768680475,0.03621911327001618,0.117492104666609
4,0.0,0.001066524275043853,0.0011837985315539474,6,7.865665915282084e-06,0.0017389216085999296,0.0021734973360762718
