seed,sigma,month,global_mse,insurer_gap,group_gap,worst_group_mse
0,0.0,1,0.0011202097908422132,0.00010017416870102078,0.0027519892240553323,0.002997984300885917
0,0.0,2,0.0012247322324834143,0.00013767835811609713,0.0028600506082129456,0.0031487802135382135
0,0.0,3,0.0015596168561610169,0.0011237471763081428,0.004041582543039196,0.004290931095431569
0,0.0,4,0.001594793945041108,0.0006375453431687738,0.003919218684098343,0.004200404522093176
0,0.0,5,0.0017334576682771535,0.0007903117961323503,0.003938220030511297,0.004361686955571087
0,0.0,6,0.0019680815495050825,0.000957395745938505,0.004493331666634327,0.005006919199976709
0,0.0,7,0.002066319902003197,0.0010689751334256345,0.004328530823345802,0.004933487547840424
0,0.0,8,0.002427567084530857,0.001257470024630797,0.0053373905455308766,0.005991748762454826
0,0.0,9,0.0025575267761297257,0.0014267612289893409,0.005486708545570326,0.006105168354688607
0,0.0,10,0.001267120099224619,0.0,0.0027911562891585226,0.003030242471126232
0,0.0,11,0.0013163831247836116,0.00010143010769341019,0.0029942425662312644,0.003283115122469964
0,0.0,12,0.0013199726801589168,0.00019547439705513005,0.002838344996651314,0.003170404499519526
0,0.0,13,0.0010995755472561026,0.0002393617000556364,0.0019605252710438933,0.0023129837491701086
0,0.0,14,0.0011830091111954546,0.0003083070445865743,0.0021317384880479217,0.0025419371295150755
0,0.0,15,0.0011091860689918676,0.0003631416115005945,0.0018919789659336934,0.002371958109553045
0,0.0,16,0.000980890183932232,0.0004047007076179995,0.001196044863000524,0.001638343927302735
0,0.0,17,0.001016751097344263,0.00048191952075554354,0.001211208628996682,0.0017152695668616591
0,0.0,18,0.0011124572130281646,0.0005554545147849035,0.0013146497295535254,0.001815699787588692
0,0.0,19,0.0012167022344597457,0.0006179630049997106,0.0013390195728926026,0.0019291855836056303
0,0.0,20,0.0005549054479814813,0.0,0.0008688469068906221,0.0010264776780168944
0,0.0,21,0.0006925650864443028,3.840822248031876e-05,0.001522087254096942,0.0016564296637027337
0,0.0,22,0.0008630679587528938,8.896822601918235e-05,0.0021541521737579385,0.002285895371623689
0,0.0,23,0.0010413101676901122,0.00016361992135603503,0.002271097285629963,0.0024027450084154692
0,0.0,24,0.0010461300245186678,0.00021212945874703702,0.0023132055443412084,0.0024646407069486126
0,0.0,25,0.0010828703991365616,0.0002802873050199279,0.0022343310533271326,0.0023819973223842055
0,0.0,26,0.001380513757886216,0.00039383587097863377,0.00349710159112762,0.003655930024172059
0,0.0,27,0.0012757323614981545,0.00041587462755906016,0.0025418961874871075,0.0026994855608209987
