parameter,value,metric,elasticity,abs_elasticity
fl_interval,20.0,effective_price,0.0009234842588597379,0.0009234842588597379
fl_interval,20.0,coverage,0.0005017617328558166,0.0005017617328558166
fl_interval,20.0,profit_per_insurer,0.0030393656658299576,0.0030393656658299576
fl_interval,20.0,subsidy_per_patient,-1.0,1.0
fl_interval,20.0,risk_mse,1.3234506362665253,1.3234506362665253
fl_interval,20.0,hhi,-0.03210574123916089,0.03210574123916089
fl_interval,20.0,coverage_disparity,0.027422303473491796,0.027422303473491796
fl_interval,20.0,goal_score,-0.0005040269063955443,0.0005040269063955443
fl_interval,30.0,insured_pct,-0.000603698081964942,0.000603698081964942
fl_interval,30.0,effective_price,0.0010444038417223498,0.0010444038417223498
fl_interval,30.0,coverage,0.00041005440652735743,0.00041005440652735743
fl_interval,30.0,profit_per_insurer,0.0020612099704182068,0.0020612099704182068
fl_interval,30.0,subsidy_per_patient,-0.5,0.5
fl_interval,30.0,risk_mse,-0.045576865455724626,0.045576865455724626
fl_interval,30.0,hhi,-0.012559001042734037,0.012559001042734037
fl_interval,30.0,coverage_disparity,0.021023765996343754,0.021023765996343754
fl_interval,30.0,goal_score,-0.00039965242701126653,0.00039965242701126653
dp_sigma,0.0,insured_pct,0.0017938457292674302,0.0017938457292674302
dp_sigma,0.0,effective_price,-0.0025878888253319755,0.0025878888253319755
dp_sigma,0.0,coverage,-0.0012401719449886349,0.0012401719449886349
dp_sigma,0.0,profit_per_insurer,-0.005784436260575183,0.005784436260575183
dp_sigma,0.0,subsidy_per_patient,-0.9369403316834714,0.9369403316834714
dp_sigma,0.0,risk_mse,0.8875245839368401,0.8875245839368401
dp_sigma,0.0,hhi,0.0569782421339482,0.0569782421339482
dp_sigma,0.0,coverage_disparity,-0.06398537477148099,0.06398537477148099
dp_sigma,0.0,goal_score,0.0011015850841015597,0.0011015850841015597
dp_sigma,0.025,insured_pct,0.0034497033255136257,0.0034497033255136257
dp_sigma,0.025,effective_price,-0.002272977778285722,0.002272977778285722
dp_sigma,0.025,coverage,-4.18393664166836e-05,4.18393664166836e-05
dp_sigma,0.025,profit_per_insurer,-0.004859532715328057,0.004859532715328057
dp_sigma,0.025,subsidy_per_patient,-0.002534678076344957,0.002534678076344957
dp_sigma,0.025,risk_mse,1.240801899095838,1.240801899095838
dp_sigma,0.025,hhi,0.083155129618168,0.083155129618168
dp_sigma,0.025,coverage_disparity,-0.04753199268738583,0.04753199268738583
dp_sigma,0.025,goal_score,0.002430503237482149,0.002430503237482149
dp_sigma,0.075,insured_pct,0.0013798813302056802,0.0013798813302056802
dp_sigma,0.075,effective_price,-0.0035048092718952166,0.0035048092718952166
dp_sigma,0.075,coverage,-0.0034991629511629584,0.0034991629511629584
dp_sigma,0.075,profit_per_insurer,-0.004244891262804646,0.004244891262804646
dp_sigma,0.075,subsidy_per_patient,1.931676150715726,1.931676150715726
dp_sigma,0.075,risk_mse,1.7844089259527232,1.7844089259527232
dp_sigma,0.075,hhi,0.04285417100062398,0.04285417100062398
dp_sigma,0.075,coverage_disparity,-0.03656307129798882,0.03656307129798882
dp_sigma,0.075,goal_score,0.00035816457510875056,0.00035816457510875056
dp_sigma,0.1,insured_pct,0.0005864495653375462,0.0005864495653375462
dp_sigma,0.1,effective_price,-0.0011340964478912812,0.0011340964478912812
dp_sigma,0.1,coverage,-0.002786304325794596,0.002786304325794596
dp_sigma,0.1,profit_per_insurer,-0.0022993152021089326,0.0022993152021089326
dp_sigma,0.1,subsidy_per_patient,-0.04418918255749688,0.04418918255749688
dp_sigma,0.1,risk_mse,2.0562668656650502,2.0562668656650502
dp_sigma,0.1,hhi,0.0322323681690906,0.0322323681690906
dp_sigma,0.1,coverage_disparity,0.0054844606946983215,0.0054844606946983215
dp_sigma,0.1,goal_score,-0.00028678023881482863,0.00028678023881482863
