parameter,value,seed,insured_pct,effective_price,coverage,profit_per_insurer,subsidy_per_patient,risk_mse,hhi,coverage_disparity,goal_score,convergence_month
tau,0.075,10,0.99,163.45826120798057,0.7651219810536254,2821.537298330311,0.0,0.007404527113022251,0.5953999999999999,0.040000000000000036,0.786758440872904,120
tau,0.075,11,0.9700000000000001,175.8647861770749,0.7768634829932197,2890.7240458335777,0.0,0.008627558224409679,0.5418399999999999,0.07999999999999996,0.7903758641938486,23
tau,0.075,12,0.9700000000000001,171.92428508018946,0.802503405156548,2981.1122739280063,0.0,0.008470394458921799,0.46900000000000014,0.07999999999999996,0.8006744663331217,120
tau,0.075,13,0.9800000000000001,171.8708134560216,0.7672689720837367,2726.8799430658596,0.0,0.005236526144361075,0.4918600000000001,0.040000000000000036,0.7877300134725604,42
tau,0.075,14,0.9499999999999998,174.7940867782982,0.7875765518430196,2988.825812544822,0.0,0.023738061675706926,0.52094,0.07999999999999996,0.7795388828284031,34
tau,0.075,15,0.9800000000000001,169.3862585523382,0.7756976040840884,3048.994241141458,0.0,0.009600372423846421,0.4795400000000001,0.040000000000000036,0.7987688665113492,82
tau,0.075,16,0.9800000000000001,170.81431671358553,0.7783063201011199,2827.216976257654,0.0,0.00953604436437255,0.52302,0.040000000000000036,0.7989176186217459,14
tau,0.075,17,0.9600000000000002,167.59200952387465,0.7607115242319236,2760.723948963801,0.0,0.004776277310851454,0.54116,0.12000000000000002,0.785834864037429,113
tau,0.075,18,0.9499999999999998,170.61870833938022,0.7762500949206321,2775.4088751226604,0.0,0.012453431730354316,0.5940399999999999,0.039999999999999925,0.7710207629473109,33
tau,0.075,19,0.9700000000000001,168.1751298139173,0.7756358991825462,2648.146041991758,0.0,0.023452414504479293,0.6310400000000002,0.07999999999999996,0.7973199963828478,20
tau,0.075,20,0.9499999999999998,174.29805898174817,0.7831762677039106,2790.374636010101,0.0,0.035555516690078816,0.6415000000000001,0.039999999999999925,0.7779751933895135,120
tau,0.075,21,1.0,164.3035356553579,0.7713017884519496,2858.0555467654794,0.0,0.026774367102973373,0.46134000000000003,0.0,0.8073127819620641,14
tau,0.075,22,0.9700000000000001,165.1053628446287,0.763806708563249,2731.905404969999,0.0,0.007928805362993462,0.52668,0.040000000000000036,0.7914317288415017,120
tau,0.075,23,0.9800000000000001,164.4842567620167,0.7628973960165105,2894.70529554149,0.0,0.009782815914888826,0.52472,0.040000000000000036,0.7886362553932242,14
tau,0.075,24,0.9600000000000002,162.54847528326593,0.7614133735526594,2475.9711596068228,0.0,0.01023373255851344,0.4632600000000001,0.07999999999999996,0.7790972332407102,113
tau,0.075,25,0.9700000000000001,172.41465495851904,0.7922609718466634,3159.0229917060083,0.0,0.008422923076352673,0.49576000000000003,0.040000000000000036,0.7932325019943892,120
tau,0.075,26,0.9700000000000001,170.31182690445183,0.7963980530152306,2750.7678484256803,0.0,0.017351576136842486,0.48638000000000003,0.07999999999999996,0.7976044732584231,23
tau,0.075,27,0.9600000000000002,173.68034792810323,0.7847179690610174,2902.2135196588565,0.0,0.0064712366089111645,0.6327200000000002,0.07999999999999996,0.7798810584967265,40
tau,0.075,28,0.9499999999999998,168.23738927385227,0.7645515034172004,2705.883121166807,0.0,0.019605427603045993,0.36344000000000004,0.07999999999999996,0.7711071475747835,60
tau,0.075,29,0.9600000000000002,172.84167521769166,0.7964358786687166,3059.8364441479284,0.0,0.0038375129524746768,0.5413199999999999,0.12000000000000002,0.7910830589198486,41
tau,0.1,0,0.9700000000000001,172.01653906372104,0.7880832421371127,2904.3552522737136,0.0,0.012185722901282175,0.58714,0.07999999999999996,0.8000678313399702,43
tau,0.1,1,0.9650000000000001,163.9908127015095,0.7910801454397436,2864.2599560687568,0.0,0.019098346906848793,0.45529000000000003,0.07999999999999996,0.7965633325340957,64
tau,0.1,2,0.9600000000000002,169.33720565223717,0.7740762626255245,2788.1302913234094,0.0,0.01786625723343506,0.48007999999999995,0.16000000000000006,0.7895734910781476,29
tau,0.1,3,0.9600000000000002,168.85965898097623,0.7720011664567025,2961.4097108724714,0.0,0.005208601571808389,0.48912000000000005,0.12000000000000002,0.7877536969253128,20
tau,0.1,4,0.93,169.99664431423474,0.7687622219423846,2720.592868738785,0.0,0.004575804684287215,0.4648600000000001,0.12000000000000002,0.7728051243956326,15
tau,0.1,5,0.9600000000000002,164.30832263313442,0.7688028431539922,2682.1835762187525,0.0,0.006142160444751956,0.4964400000000001,0.07999999999999996,0.7908941231208212,113
tau,0.1,6,0.9800000000000001,164.50831184705072,0.7536240396313965,2773.416399563305,0.0,0.012200643850995778,0.4721,0.040000000000000036,0.7897850736475014,33
tau,0.1,7,0.9630000000000001,161.17315428127137,0.7802635565732188,2865.3755409790347,0.1933460868519238,0.006397898647631878,0.49467,0.06799999999999998,0.7861881647720302,27
tau,0.1,8,0.9800000000000001,167.05825494670816,0.7796248998045476,2980.912204774743,0.0,0.006498734555422099,0.52956,0.040000000000000036,0.7952920036049773,34
tau,0.1,9,0.9700000000000001,164.11663313756426,0.7904340823262133,3021.7942854593116,0.0,0.006366187052511629,0.51196,0.07999999999999996,0.8058340820098854,72
tau,0.1,10,0.99,159.70939347227892,0.764967862746907,2822.8673600759985,0.0,0.007425276505261075,0.60564,0.040000000000000036,0.7898719182358246,120
tau,0.1,11,0.9700000000000001,172.97700665755266,0.7768634234459599,2890.724668578701,0.0,0.008627585747948124,0.5418399999999999,0.07999999999999996,0.7924724766184273,23
tau,0.1,12,0.9700000000000001,169.58704068802507,0.8025525925236279,2984.3083172273555,0.0,0.008471170992724113,0.46900000000000014,0.07999999999999996,0.8023896184200947,120
tau,0.1,13,0.9800000000000001,169.62288922507983,0.7672048978853285,2723.877217305101,0.0,0.00522105488674029,0.5168200000000001,0.040000000000000036,0.7894445235204872,42
tau,0.1,14,0.9499999999999998,171.3512161048317,0.7875127012022025,2990.2938776059373,0.0,0.023774853092258522,0.51162,0.07999999999999996,0.7821143870165893,34
tau,0.1,15,0.9800000000000001,167.1609521148191,0.7761300703160916,3049.010476826497,0.0,0.009552630117545504,0.4687200000000001,0.040000000000000036,0.8005264530115322,82
tau,0.1,16,0.9800000000000001,166.8064920334853,0.7783043058680408,2827.2389361687647,0.0,0.009536123633328036,0.52302,0.040000000000000036,0.8018402602612111,14
tau,0.1,17,0.9600000000000002,163.44787492535878,0.7626977020664956,2752.0123483958764,0.0,0.004753001666106783,0.54018,0.12000000000000002,0.7894567748175934,113
tau,0.1,18,0.9499999999999998,165.66286847154691,0.7762500949206321,2775.4088751226604,0.0,0.012453431730354316,0.5940399999999999,0.039999999999999925,0.7749959027426796,33
tau,0.1,19,0.9700000000000001,164.84218761223133,0.7756358991825462,2648.146041991758,0.0,0.023452414504479293,0.6310400000000002,0.07999999999999996,0.7997055146384818,20
tau,0.1,20,0.9499999999999998,170.93280965745683,0.7834505558788004,2789.7539188141836,0.0,0.035555713397312276,0.6415000000000001,0.039999999999999925,0.7806056639031109,120
tau,0.1,21,0.99,161.97509187243242,0.7731830534429129,2846.1779269991707,0.0,0.026672869064293538,0.43916000000000005,0.040000000000000036,0.804635568593446,14
tau,0.1,22,0.9600000000000002,164.00182017449941,0.7637134142489043,2702.95552883473,0.0,0.007836905686909456,0.50742,0.07999999999999996,0.7872239642217169,120
tau,0.1,23,0.9800000000000001,160.25980992105514,0.7628973960165105,2894.70529554149,0.0,0.009782815914888826,0.52472,0.040000000000000036,0.7919814534821044,14
tau,0.1,24,0.9600000000000002,158.74596691850212,0.7623040161298752,2472.622190847086,0.0,0.010233745894504922,0.4632600000000001,0.07999999999999996,0.7823897995766738,113
tau,0.1,25,0.9700000000000001,168.08607754849118,0.7927192227293626,3161.122964363089,0.0,0.00843071982002818,0.4948200000000001,0.040000000000000036,0.7966198628059776,120
tau,0.1,26,0.9700000000000001,165.70163908495402,0.7963980530152306,2750.7678484256803,0.0,0.017351576136842486,0.48638000000000003,0.07999999999999996,0.8010236959735331,23
tau,0.1,27,0.9600000000000002,169.0155803189576,0.7847179690610174,2902.2135196588565,0.0,0.0064712366089111645,0.6327200000000002,0.07999999999999996,0.7835212347117169,40
tau,0.1,28,0.9499999999999998,165.1119909301054,0.7645515034172004,2705.883121166807,0.0,0.019605427603045993,0.36344000000000004,0.07999999999999996,0.7735827127748677,60
