parameter,value,seed,month,insured_pct,effective_price,coverage,profit_per_insurer,subsidy_per_patient,risk_mse,hhi,coverage_disparity,goal_score,insurer_mse_disparity
tau,0.05,0,72,0.98,172.67364239120081,0.7944680932182199,2968.3719597943773,0.0,0.01533659702398064,0.5466,0.040000000000000036,0.8042528423047849,0.01221986130181963
tau,0.05,0,73,0.98,174.1695375524979,0.791302554615613,2914.2111707549934,0.0,0.015525432693938655,0.4726,0.040000000000000036,0.8031388987531672,0.012298066176778217
tau,0.05,0,74,0.98,173.6240131798673,0.7922656780690854,2934.8012278316883,0.0,0.014659317317420782,0.48540000000000005,0.040000000000000036,0.8036000068957729,0.0117792563149922
tau,0.05,0,75,0.98,173.87417545249096,0.7932845318802129,2760.722505782013,0.0,0.014834577560211306,0.49960000000000004,0.040000000000000036,0.8032417950932684,0.01149981681178104
tau,0.05,0,76,0.98,173.51639962912822,0.7927152429667297,2858.4317857185897,0.0,0.014980966701939496,0.5114000000000001,0.040000000000000036,0.8039345454708421,0.011688416431928037
tau,0.05,0,77,0.98,173.5993474594916,0.7927591141492552,2948.5671592837807,0.0,0.014106947943194075,0.49140000000000006,0.040000000000000036,0.8046712425972791,0.011054581964078363
tau,0.05,0,78,0.98,174.00283801453998,0.7923412104376261,2972.2303541932915,0.0,0.015159632737271427,0.46420000000000006,0.040000000000000036,0.8045124499586103,0.01137392724552088
tau,0.05,0,79,0.98,172.43146723001976,0.7914091375192489,2875.7749498576,0.0,0.015411885364317975,0.5466,0.040000000000000036,0.8053766066879173,0.011306958972863865
tau,0.05,0,80,0.98,173.68232580798306,0.7941240596597468,2923.731157882367,0.0,0.006506706360227284,0.5010000000000001,0.040000000000000036,0.8064112316842809,0.011409944640399182
tau,0.05,0,81,0.98,172.54169657683389,0.7963624171107483,2919.0138489970395,0.0,0.0069135692262225264,0.549,0.040000000000000036,0.8089809652485208,0.0038533824028025953
tau,0.05,0,82,0.98,172.97659286714878,0.7933007785158588,2866.278985936675,0.0,0.006641726508644854,0.5973999999999999,0.040000000000000036,0.8076822086717359,0.003797909781669141
tau,0.05,0,83,0.98,173.2883270334126,0.7921169591648638,2777.6923775148084,0.0,0.007208899527491574,0.5726,0.040000000000000036,0.806061823580414,0.0040134715914272
tau,0.05,0,84,0.98,173.24978900735442,0.7914541271232363,2724.870617480233,0.0,0.007558800683868528,0.5446,0.040000000000000036,0.8062491986184641,0.004131245527496054
tau,0.05,0,85,0.98,174.75630044848097,0.7922664407580119,2799.9535394856507,0.0,0.007413142532302272,0.49500000000000005,0.040000000000000036,0.8051210837200472,0.004047616726580621
tau,0.05,0,86,0.98,174.6992376954258,0.7920481676205672,2856.7200146052955,0.0,0.006261799127547324,0.5361999999999999,0.040000000000000036,0.805637842427185,0.0037487454303344442
tau,0.05,0,87,0.98,173.5345027528412,0.7931279575419937,2703.6255216260142,0.0,0.007422555399116078,0.5293999999999999,0.040000000000000036,0.8059564264016715,0.004095273031552962
tau,0.05,0,88,0.98,174.87824849129817,0.7894661898492468,2737.1822487271047,0.0,0.00911960083305902,0.5114000000000001,0.040000000000000036,0.8035045992663882,0.00452849990996149
tau,0.05,0,89,0.98,174.20801113542618,0.7902665954194665,2779.958909576196,0.0,0.00757332400282226,0.5326,0.040000000000000036,0.803876825595511,0.004019508605090703
tau,0.05,0,90,0.98,174.7231910189599,0.7942847074221674,2718.545660663811,0.0,0.0076039846144566854,0.5150000000000001,0.040000000000000036,0.8043239687072736,0.00413231267794751
tau,0.05,0,91,0.98,174.22083621553767,0.7895410161428861,2849.840372252521,0.0,0.007799200047254403,0.5950000000000001,0.040000000000000036,0.8030030660351765,0.004107726486130274
tau,0.05,0,92,0.98,173.6637421379003,0.7922561998420182,2808.801083080494,0.0,0.007387852734228001,0.5973999999999999,0.040000000000000036,0.8036556191066846,0.004379948245481095
tau,0.05,0,93,0.98,174.14342445053856,0.7896965039074116,2952.7446525048313,0.0,0.007937062272121943,0.5266,0.040000000000000036,0.8030397815564678,0.004161149160431337
tau,0.05,0,94,0.98,174.17366262022293,0.7907727873001756,2834.4537027763686,0.0,0.007988871771320608,0.5202000000000001,0.040000000000000036,0.8028541268923239,0.004387924973836036
tau,0.05,0,95,0.98,172.97261519670295,0.7911846279005673,2808.5354117323022,0.0,0.007837347747839932,0.5795999999999999,0.040000000000000036,0.8039422668348224,0.004424911518194035
tau,0.05,0,96,0.98,173.23433216689048,0.7895736647469453,2961.4269643542357,0.0,0.007823642147664872,0.609,0.040000000000000036,0.8037661293248408,0.004434484783437593
tau,0.05,0,97,0.98,173.27901295394287,0.7895378765627934,2902.426651701726,0.0,0.007324723954664225,0.5726,0.040000000000000036,0.803362472748619,0.0041153044223753744
tau,0.05,0,98,0.98,173.7288306243541,0.7900674352393542,2998.9655298972443,0.0,0.00705318109806642,0.5786,0.040000000000000036,0.8037265695756763,0.004223100464082334
tau,0.05,0,99,0.98,174.94987338810077,0.7894684716937851,2926.2254203825996,0.0,0.007060062720731907,0.5821999999999999,0.040000000000000036,0.8033312234827376,0.004014980656785238
tau,0.05,0,100,0.98,173.8565183279569,0.7880027772431158,2815.9677315014687,0.0,0.037211824138062954,0.5726,0.040000000000000036,0.8021143351465105,0.003847270847117405
tau,0.05,0,101,0.98,175.80523622814383,0.7816287455756618,2901.7046198369153,0.0,0.037031521990067824,0.6356,0.040000000000000036,0.7988933254451552,0.03410328974645921
tau,0.05,0,102,0.98,174.3606124184599,0.7877427285098748,2847.4916973262334,0.0,0.03638735180748608,0.6901999999999999,0.040000000000000036,0.8027102057160005,0.03212753445775032
tau,0.05,0,103,0.98,173.7739063612213,0.7881846609875975,2855.482939088584,0.0,0.03691528309055418,0.6356,0.040000000000000036,0.8034023756770378,0.031727240434384456
tau,0.05,0,104,0.98,174.34796696648968,0.7906384914823131,2967.991946637957,0.0,0.03715434250398475,0.5753999999999999,0.040000000000000036,0.803885265461462,0.031049863715879956
tau,0.05,0,105,0.98,174.382333430302,0.7916711636972114,2999.4983370279624,0.0,0.036712272059882596,0.5861999999999999,0.040000000000000036,0.8036597823145133,0.029860037908639284
tau,0.05,0,106,0.98,175.06905895611757,0.7913224948269053,3073.746225987801,0.0,0.036072291344098416,0.5491999999999999,0.040000000000000036,0.8041097639634299,0.027972926081414
tau,0.05,0,107,0.98,173.97389396014626,0.7905207408005034,2978.047803379889,0.0,0.03704692078052082,0.6116,0.040000000000000036,0.8045054295916618,0.027866778785852343
tau,0.05,0,108,0.98,174.72426071885798,0.7911837510029205,2945.6785695045896,0.0,0.03642305414676885,0.5549999999999999,0.040000000000000036,0.8048624030271834,0.02649497443561416
tau,0.05,0,109,0.98,173.4141078143884,0.7939159990267965,2956.447581589313,0.0,0.03631660535363715,0.5786,0.040000000000000036,0.8065847034339593,0.02537188039074085
tau,0.05,0,110,0.98,172.19974353087298,0.7956116758710883,2843.668374029859,0.0,0.01335725704504074,0.6356,0.040000000000000036,0.8081223320881612,0.024918279562933052
tau,0.05,0,111,0.98,174.75428649550162,0.7901508811736364,2795.338407279753,0.0,0.012935496934045951,0.5573999999999999,0.040000000000000036,0.8038127812728112,0.0053150288353319515
tau,0.05,0,112,0.98,173.5738179108824,0.7898594696725719,2876.7411225007936,0.0,0.013036866255807456,0.5621999999999998,0.040000000000000036,0.8048717773292228,0.007698843996974089
tau,0.05,0,113,0.98,173.40079300675743,0.7903826141387327,2835.3009824304463,0.0,0.012833647786050902,0.59,0.040000000000000036,0.8053928750070312,0.007762953810179272
tau,0.05,0,114,0.98,172.04509579723066,0.7903100633967757,2884.388943123645,0.0,0.012731387385950598,0.6412000000000001,0.040000000000000036,0.8061705142300315,0.008527682205970213
tau,0.05,0,115,0.98,172.40215009885287,0.7905358274019737,2893.8838757575563,0.0,0.012572521485477276,0.6426000000000001,0.040000000000000036,0.8060382790219485,0.0071279095428954725
tau,0.05,0,116,0.98,172.10505647014188,0.788878675200331,2937.9923296116876,0.0,0.012806954476368967,0.6869999999999998,0.040000000000000036,0.8062564044995887,0.004529536607289237
tau,0.05,0,117,0.98,172.53754135110592,0.7897598857242375,2990.2083606545293,0.0,0.012598624572142645,0.6316,0.040000000000000036,0.806004887641746,0.002627731298233771
tau,0.05,0,118,0.98,172.80308651178532,0.7893633270676181,2992.9359243303115,0.0,0.013020718872394862,0.619,0.040000000000000036,0.8035405831472573,0.002259817796512225
tau,0.05,0,119,0.98,173.04211753976588,0.7884225844430536,3071.1399553264637,0.0,0.012842862822288097,0.605,0.040000000000000036,0.8024727982640326,0.002364807183910245
tau,0.05,0,120,0.98,173.3494593535487,0.788509855661131,2937.380581880369,0.0,0.004656211831279544,0.5781999999999999,0.040000000000000036,0.8037674622102364,0.011901735164436383
tau,0.05,1,1,0.1,18.089783226811555,0.08113565776224334,41.94786067048888,0.0,0.0037907483059701594,0.0028,0.12,0.26066846242454905,0.000796393674279746
tau,0.05,1,2,0.1,57.76864843854396,0.2483026247802477,129.56913032521408,0.0,0.0036722901647569324,0.0028000000000000004,0.12,0.2806976129244669,0.0005093043638801801
tau,0.05,1,3,0.1,59.84282536930368,0.25000085512119635,140.4838991414597,0.0,0.0035824614904379523,0.0034000000000000002,0.12,0.27961699930644734,0.00045817211939550104
tau,0.05,1,4,0.1,78.13785715533538,0.335138974927652,177.90998392767048,0.0,0.0035658243368568866,0.0028000000000000004,0.12,0.29155643750315635,0.0003302721903518716
tau,0.05,1,5,0.1,94.60648492522796,0.4177935521836891,216.35505092212009,0.0,0.0035695529301911686,0.003,0.12,0.3041330127987332,0.0004414925080896868
tau,0.05,1,6,0.85,155.84408591343382,0.7663340807298609,3316.546168378489,19.350809865739325,0.0034675184732484558,0.2745,0.12,0.7376429705222143,0.00020448735441709652
tau,0.05,1,7,0.93,153.65541292118712,0.7707126934848695,3640.526301967995,4.2931625856885605,0.003335874469586966,0.3515,0.12,0.7805925392212878,0.00016372826362295325
tau,0.05,1,8,0.94,153.45317160840995,0.7698305444463864,3646.021757226637,1.028309571525506,0.0032361494994780837,0.34299999999999997,0.12,0.7851027869850198,0.0002080111219719845
tau,0.05,1,9,0.94,153.65296701023942,0.7692531805457005,3605.6688889867996,0.0,0.0032041160880729304,0.3538,0.12,0.785945808392911,0.00020083086991734317
tau,0.05,1,10,0.94,153.10843257761007,0.7680647060904202,3585.93607103218,0.0,0.002264352060889392,0.36300000000000004,0.12,0.7867494778995171,0.00026019857608663966
tau,0.05,1,11,0.94,155.03329085841898,0.7661576175526209,3581.8778292063353,0.0,0.0022470463327166866,0.4206,0.12,0.7859184752841886,0.0010339361698665337
tau,0.05,1,12,0.94,157.29378493513389,0.7673644704555663,3579.971049823421,0.0,0.00265015890633814,0.3726,0.12,0.7845965548831138,0.0008575991062710034
tau,0.05,1,13,0.95,156.15170215385345,0.7672490307151272,3564.956061699162,1.1738705628095716,0.0026355728751847585,0.3747,0.12,0.7900477741064407,0.0009550679466783689
tau,0.05,1,14,0.96,154.54343483980867,0.7667457224121786,3649.056077332759,1.4435885748746147,0.002574763227068839,0.3934,0.07999999999999996,0.7969432176123026,0.0017976745029455632
tau,0.05,1,15,0.96,154.24706453482662,0.76726779176041,3548.325908634265,0.0,0.0023930362868481193,0.3954000000000001,0.07999999999999996,0.7965920690111229,0.002528996711853539
tau,0.05,1,16,0.96,155.77101661973555,0.7685680804720869,3574.208839592516,0.0,0.002590382586316969,0.39880000000000004,0.07999999999999996,0.7965770832091781,0.00274081174446219
tau,0.05,1,17,0.96,154.92386429283388,0.7663525222763724,3566.945835779085,0.0,0.0026196041095043203,0.411,0.07999999999999996,0.7973417280150825,0.0039893784589263665
tau,0.05,1,18,0.96,154.95557480475028,0.7688074437739818,3479.0679702437133,0.0,0.0028385583556668767,0.4372,0.07999999999999996,0.7975167273533305,0.003521932626414156
tau,0.05,1,19,0.96,155.55063203306096,0.7692070037643344,3436.838164156412,0.0,0.0031726036614983977,0.38700000000000007,0.07999999999999996,0.7971730609816131,0.002363998814677769
tau,0.05,1,20,0.96,155.82612066201168,0.768022121470127,3434.028781005706,0.0,0.024494865456084314,0.4044,0.07999999999999996,0.796633626857572,0.0015019611063670862
tau,0.05,1,21,0.96,158.14144038107227,0.7580510825608053,3529.4773472898783,0.0,0.02513752461392479,0.441,0.07999999999999996,0.7922342433939028,0.001253669110086272
tau,0.05,1,22,0.96,160.73148087591605,0.7692245421745764,3579.7947878257064,0.0,0.02619050525699986,0.421,0.07999999999999996,0.7934108522136408,0.0005107909453804602
tau,0.05,1,23,0.96,159.85067632778654,0.7715709687226803,3496.534168530489,0.0,0.02673333591762577,0.43579999999999997,0.07999999999999996,0.79490495846516,0.0011826595114561621
tau,0.05,1,24,0.96,161.36918428864058,0.7787395140855792,3576.772341072629,0.0,0.027791652851486312,0.445,0.07999999999999996,0.7958678544545681,0.0014412010108855687
tau,0.05,1,25,0.96,160.95528596393038,0.7789070822998906,3508.0602184169697,0.0,0.028167813266742392,0.4502,0.07999999999999996,0.7966728292425587,0.0011225796174732397
tau,0.05,1,26,0.96,160.74867988366802,0.7801417912901197,3476.5591353673626,0.0,0.028996265852343543,0.4554,0.07999999999999996,0.7966972080702056,0.0009942293400841302
tau,0.05,1,27,0.96,160.6991292306395,0.7820340409977186,3472.502194032956,0.0,0.029974441783307226,0.418,0.07999999999999996,0.7958098382070035,0.00103429114937829
tau,0.05,1,28,0.96,163.29065363787774,0.7908491272666196,3421.634940760462,0.0,0.030601119316695995,0.4554,0.07999999999999996,0.7963936361451691,0.0010086867928812502
tau,0.05,1,29,0.96,164.09191283269726,0.7894937597478066,3419.5717451884484,0.0,0.031645008174515286,0.42379999999999995,0.07999999999999996,0.7945999904931362,0.0009680552833737587
tau,0.05,1,30,0.96,163.6130206903536,0.7884687958709867,3451.8696685838927,0.0,0.004224410085241768,0.4218,0.07999999999999996,0.794612568092264,0.0011097134143751893
tau,0.05,1,31,0.96,163.29025271027993,0.793582014190496,3527.1247790700627,0.0,0.0030783989808480772,0.37420000000000003,0.07999999999999996,0.7968573309751577,0.0002952702641061424
tau,0.05,1,32,0.96,164.40512545956275,0.7943351547915386,3441.580887643066,0.0,0.0031549997324712116,0.4044,0.07999999999999996,0.7960736025332282,0.00247293093906808
tau,0.05,1,33,0.96,164.72312529561825,0.7926079690666863,3477.142210846253,0.0,0.003227249133788936,0.39880000000000004,0.07999999999999996,0.7958372878579949,0.0046982192182358044
tau,0.05,1,34,0.96,164.39247571467556,0.7916654014813883,3443.540182197421,0.0,0.003682990513259424,0.3954000000000001,0.07999999999999996,0.7951845965316596,0.005666293794207087
tau,0.05,1,35,0.96,164.02802253686227,0.7885928268352287,3437.2249091580197,0.0,0.004048875990378548,0.3954000000000001,0.07999999999999996,0.7942927326979997,0.009199486185370634
tau,0.05,1,36,0.96,164.90425834190935,0.789164594055168,3385.358791063145,0.0,0.0037026762460933746,0.423,0.07999999999999996,0.7936433882072014,0.012359266286569406
tau,0.05,1,37,0.96,164.21900448787818,0.7912941522678653,3474.9873027381223,0.0,0.00304103369947724,0.4502,0.07999999999999996,0.7950911766978122,0.012107142964154263
