seed,mechanism,insured_pct,accepted_premium,accepted_coverage,profit_per_insurer,subsidy_total,hhi,override_residual,assignment_override_rate,premium_override,coverage_override
0,Bayesian direct mechanism,0.667,214.36290235986456,0.7922479165943276,962.9294661113217,0.0,0.7216637427188639,0.36852302320095737,0.31799999999999995,0.05968740228693943,0.041358644114975314
0,Central welfare planner,1.0,219.7848609296565,0.7835303513896077,1263.591911072422,163.23443711776804,0.38104000000000005,0.31582255820462923,0.24900000000000003,0.1059970349439056,0.027648081465352865
0,FL-IMDR restricted,0.999,218.52791058767042,0.7564749901503938,1693.3213760356794,765.0200383724665,0.5318580920314254,0.0,0.0,0.0,0.0
1,Bayesian direct mechanism,0.717,214.90048858766698,0.7917256635170011,1035.7677026500567,0.0,0.7629275991436234,0.3482430823486973,0.296,0.05909001624324474,0.04539614845414983
1,Central welfare planner,1.0,220.39430582899467,0.783938286199301,1263.6062040996183,103.49056146845984,0.35734000000000005,0.35516800238446683,0.28700000000000003,0.10492415041159912,0.03141185435733452
1,FL-IMDR restricted,0.975,219.4268429068749,0.7552023881301783,1645.9777099565283,599.7873056721435,0.5394385638109391,0.0,0.0,0.0,0.0
2,Bayesian direct mechanism,0.716,216.06575405024356,0.7947586200250656,1035.7870512570678,0.0,0.7503093190820385,0.34267983455241774,0.29100000000000004,0.05737637062300479,0.045983298481830706
2,Central welfare planner,1.0,222.5193810086514,0.7858444743671801,1266.1737584415682,106.65760822656482,0.40809999999999996,0.33081310362144734,0.263,0.10464999389903984,0.030976213343854826
2,FL-IMDR restricted,0.99,220.5671266677591,0.7547884561077363,1677.8002748301558,632.6134057769368,0.5209060299969391,0.0,0.0,0.0,0.0
3,Bayesian direct mechanism,0.709,215.0104802860203,0.792497988324957,1024.3509970527446,0.0,0.7281434244622963,0.3252640576803845,0.275,0.0586974770155587,0.04183063834521032
3,Central welfare planner,0.99,219.78245306660043,0.7821522796978269,1251.3138853178352,191.90351310470766,0.3634731149882665,0.3466269273716432,0.278,0.10450029180675088,0.03275356293653545
3,FL-IMDR restricted,0.983,218.3153082770486,0.7526512346432451,1650.621715845688,700.4586409964496,0.5687869287530809,0.0,0.0,0.0,0.0
4,Bayesian direct mechanism,0.716,216.74635770755566,0.7912850748726127,1036.6212623016154,0.0,0.8308833445198222,0.32674749960282795,0.27599999999999997,0.057336383083139986,0.04415861612251588
4,Central welfare planner,0.998,222.9235529697939,0.7849116069714095,1265.081028017549,187.03137138985772,0.3738458504234262,0.3622846101055158,0.29700000000000004,0.10386019837593588,0.026709021835095687
4,FL-IMDR restricted,0.99,220.75618010099976,0.7505342378172635,1671.8250158993123,662.1425715934645,0.5559584133307377,0.0,0.0,0.0,0.0
5,Bayesian direct mechanism,0.72,214.84222657747063,0.7944417635657013,1040.053666983236,0.0,0.7437710327123846,0.3599220583309979,0.309,0.058682243266839906,0.043161873395155884
5,Central welfare planner,1.0,220.28477237295132,0.7855568018635302,1263.2190255064652,81.92090524792502,0.41044,0.32285607677719985,0.255,0.1063170866186716,0.02939506693572803
5,FL-IMDR restricted,0.984,217.5178299505945,0.7571387127764104,1652.227259720384,638.4843826661152,0.5615533030675711,0.0,0.0,0.0,0.0
6,Bayesian direct mechanism,0.742,212.30802830842708,0.7937159282258184,1068.5777583056692,0.0,0.6685802835670984,0.38008245642363486,0.328,0.06059837058345112,0.04356654226381866
6,Central welfare planner,0.99,218.26663901310184,0.7867179618210567,1249.0370801971244,150.71747426134908,0.4213651668197122,0.3172751251072987,0.24699999999999997,0.10681176917143617,0.03373848104316131
6,FL-IMDR restricted,0.984,217.7054793885183,0.7613769740395133,1661.6310620942888,594.3378346127308,0.5061553851323044,0.0,0.0,0.0,0.0
7,Bayesian direct mechanism,0.698,216.75416445616992,0.7956011218819669,1010.5616966719286,0.0,0.7148976711517104,0.3544162501671179,0.30100000000000005,0.057036887173148546,0.049795613161087326
7,Central welfare planner,1.0,221.5344264341201,0.782689907026932,1266.653971960862,245.4910013003821,0.37408,0.3027932187642086,0.23500000000000001,0.10353414593987413,0.03205229158854307
7,FL-IMDR restricted,0.9640000000000001,221.59616385940438,0.7536015626929806,1637.8883831013445,609.3123687314778,0.5027796407849106,0.0,0.0,0.0,0.0
