mechanism,n_seeds,insured_pct_mean,insured_pct_sd,accepted_premium_mean,accepted_premium_sd,accepted_coverage_mean,accepted_coverage_sd,profit_per_insurer_mean,profit_per_insurer_sd,subsidy_total_mean,subsidy_total_sd,hhi_mean,hhi_sd,override_residual_mean,override_residual_sd,assignment_override_rate_mean,assignment_override_rate_sd,premium_override_mean,premium_override_sd,coverage_override_mean,coverage_override_sd
Central welfare planner,50,0.9974,0.004261838254336087,220.47028264616839,1.5332121486231667,0.7851752634794302,0.001813446201578542,1261.159722053385,6.008284916471668,165.97410142421973,47.43018548522585,0.3910253842406156,0.02209117897375928,0.3270422810002272,0.029159507181227107,0.2591,0.029322450826098755,0.10533464872037136,0.0012220827447789009,0.030549913280083024,0.001863434549958804
Bayesian direct mechanism,50,0.7109199999999999,0.022665121996187015,214.75307654105256,1.5568615121007343,0.7933270628259719,0.0017381835970139406,1026.8128476011198,32.74672683235533,0.0,0.0,0.7417463623357564,0.050712069219221764,0.3467845829386335,0.029792810405584718,0.295,0.02964690161737317,0.05882516371579111,0.0010951045149860327,0.044744002161475976,0.002233310475493833
FL-IMDR restricted,50,0.9821999999999999,0.011674147261608205,219.36793633269627,1.4134265161990691,0.7566552969736732,0.003950596058584698,1662.652204970355,20.679288595317658,645.362728403272,62.296244409691425,0.5223489045119917,0.03351973832086228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
