seed,round,mechanism,insured_pct,accepted_premium,accepted_coverage,profit_per_insurer,total_profit,subsidy_total,hhi,override_residual,assignment_override_rate,premium_override,coverage_override,mean_allocation_probability
0,1,Central welfare planner,0.1,224.31249479213858,0.7916666666666667,126.70386842763556,506.8154737105422,0.0,0.45999999999999996,,,,,
0,2,Central welfare planner,0.12,220.8477972960363,0.7805555555555554,151.603184486552,606.412737946208,4.493929317931304,0.3472222222222222,,,,,
0,3,Central welfare planner,0.08,223.65294410610096,0.785,101.50176937713856,406.00707750855423,16.92507483083031,0.40625,,,,,
0,4,Central welfare planner,0.11,223.2123161315659,0.7637878787878788,139.50223748309858,558.0089499323943,22.852471133053598,0.256198347107438,,,,,
0,5,Central welfare planner,0.13,222.80820096123597,0.7791923401898075,164.70493239398616,658.8197295759446,18.70770859876643,0.3372781065088758,,,,,
0,6,Central welfare planner,1.0,219.32812430857447,0.7837770981072228,1262.5319443912458,5050.127777564983,119.87089800719897,0.3964,0.36088036772444404,0.29,0.10687604712995251,0.03488468831893558,
0,7,Central welfare planner,1.0,219.72812452060106,0.784342689398802,1262.7213402620082,5050.885361048033,95.78012994857409,0.41159999999999997,0.31055848211091813,0.24,0.10662516191952044,0.03449180230231584,
0,8,Central welfare planner,1.0,219.1699425936117,0.7842416834225452,1261.9811539146995,5047.924615658798,89.42266947358132,0.3978,0.34009461555921155,0.27,0.10693543854834887,0.033253792570074214,
0,9,Central welfare planner,1.0,219.61405846250508,0.7845217546196491,1262.4352163201925,5049.74086528077,83.15232464564218,0.39659999999999995,0.3300699443472772,0.26,0.10733621965248512,0.032803669042069314,
0,10,Central welfare planner,1.0,220.31874142286367,0.7845966542152317,1263.167033984544,5052.668135938176,74.15671241532402,0.38580000000000003,0.3394613315565981,0.27,0.10687745638465136,0.0320452067285448,
0,11,Central welfare planner,1.0,220.642447354698,0.784707405492338,1263.7341730367066,5054.936692146826,89.42579961353272,0.389,0.34924325459163885,0.28,0.10643895280270704,0.03204755638057067,
0,12,Central welfare planner,1.0,220.35775842021744,0.7840736282644692,1263.298726299356,5053.194905197424,81.31716712415562,0.39499999999999996,0.3184551292602076,0.25,0.10614317692618438,0.03076708159423071,
0,13,Central welfare planner,1.0,220.10168416726523,0.7842187517082135,1263.189864105586,5052.759456422344,97.78016814267804,0.39399999999999996,0.35785514790110495,0.29,0.10609864099838076,0.029611654803829254,
0,14,Central welfare planner,1.0,220.42054812534468,0.7850000000000003,1263.2781044868266,5053.112417947306,73.30596435895129,0.3914,0.3385754435668118,0.27,0.10662591149354206,0.03052497564008143,
0,15,Central welfare planner,1.0,219.91075573933267,0.7847333333333336,1262.9548310242017,5051.819324096807,97.13023209968168,0.37920000000000004,0.37823051837319555,0.31,0.1069182582290184,0.029542778517372678,
0,16,Central welfare planner,1.0,219.96617701071392,0.7844666666666669,1263.1339664303955,5052.535865721582,106.63547908182551,0.38580000000000003,0.3379968583826281,0.27,0.1057578290728213,0.03023588769243486,
0,17,Central welfare planner,1.0,220.03769367268407,0.7847333333333334,1263.2453236161246,5052.981294464498,108.83781648604736,0.38520000000000004,0.3581757610879588,0.29,0.10635799660081123,0.0299935255751064,
