mechanism,round,n,insured_pct_mean,insured_pct_ci95,override_residual_mean,override_residual_ci95
Bayesian direct mechanism,24,50,0.6969999999999998,0.012512585664042423,0.348278665894202,0.016413534955742392
Bayesian direct mechanism,25,50,0.7024000000000001,0.011165787746504943,0.34810837881275425,0.013484221408039012
Bayesian direct mechanism,26,50,0.7080000000000001,0.011558269766708163,0.343512574630489,0.015023442553348646
Bayesian direct mechanism,27,50,0.7067999999999999,0.012527489133900697,0.34123545332042243,0.012727280714717626
Bayesian direct mechanism,28,50,0.7108000000000001,0.012241348945275596,0.3408723182724056,0.013991225737798294
Bayesian direct mechanism,29,50,0.7105999999999999,0.011563830507232453,0.3475971704721893,0.012243439473323675
Bayesian direct mechanism,30,50,0.7,0.010959416042837317,0.35091671819308806,0.011673200918188208
Bayesian direct mechanism,31,50,0.6958,0.01157304730829352,0.35062062603568545,0.013082924343803865
Bayesian direct mechanism,32,50,0.704,0.010844353369380763,0.342046635379742,0.010674930966444542
Bayesian direct mechanism,33,50,0.7014000000000001,0.010959559115219914,0.34441894010076846,0.01069295201500599
Bayesian direct mechanism,34,50,0.7084,0.012028403717867136,0.3388028003516617,0.013782876522385632
Bayesian direct mechanism,35,50,0.7073999999999999,0.01206029916710195,0.34147534507244326,0.010044694808262979
Bayesian direct mechanism,36,50,0.6979999999999998,0.011297574961025925,0.34808334958408094,0.013111013440224981
Bayesian direct mechanism,37,50,0.7043999999999998,0.011868301310634136,0.34751743958859516,0.009902481152965912
Bayesian direct mechanism,38,50,0.7160000000000001,0.011652845146143493,0.33965820750338954,0.011246918762114599
Bayesian direct mechanism,39,50,0.7006,0.012223018285186354,0.35128709802677904,0.012812381803390683
Bayesian direct mechanism,40,50,0.693,0.011588753168481928,0.35659259081101685,0.013211332512544692
Bayesian direct mechanism,41,50,0.7054,0.010745727336946528,0.35050360789827273,0.013762271279583021
Bayesian direct mechanism,42,50,0.7071999999999999,0.01315749763442882,0.34931062742346003,0.012092409510229546
Bayesian direct mechanism,43,50,0.7075999999999999,0.011249729596750312,0.3516158487602874,0.012640036419287844
Bayesian direct mechanism,44,50,0.7049999999999998,0.011974706676992134,0.3532038759740945,0.012913013411386216
Bayesian direct mechanism,45,50,0.7082,0.013598778768698316,0.34848220212870096,0.011464450872405621
Bayesian direct mechanism,46,50,0.7038000000000001,0.012817640344462783,0.35329479095706595,0.012062908794832957
Bayesian direct mechanism,47,50,0.7092,0.012507446741841436,0.3464947509339335,0.010935903109181353
Bayesian direct mechanism,48,50,0.7065999999999998,0.012302296371003258,0.3473810437531826,0.013893995228009288
Bayesian direct mechanism,49,50,0.7148,0.010789850045297204,0.3425557333725071,0.011542904738333222
Bayesian direct mechanism,50,50,0.7164,0.010458065595510478,0.3376709436646479,0.010989006952708201
Bayesian direct mechanism,51,50,0.7088,0.012353554306352483,0.3427462530213257,0.011953303437612302
Bayesian direct mechanism,52,50,0.6993999999999998,0.011590917823882625,0.34842902094158157,0.012621913972522483
Bayesian direct mechanism,53,50,0.7018,0.01053172274606581,0.35425922959707956,0.010993887818955198
Bayesian direct mechanism,54,50,0.7064,0.009265588810216,0.34250981214410586,0.013825951695474018
